name,num_game,avg_rating
Airborne Games,1,8.56
AkPublish,1,8.75
Akakiy Petrushkin,1,8.8
Akakiy Petrushkin;AYE Technology,1,3.9
Akash Balloo,2,5
Akella,10,6.1
Akeshy,1,8.33
Akim Games,2,7.4
Akimbo Creations,1,4
Akky-06's Lab,1,7.5
AkriGames,1,8
Aksys Games,6,8.24
Akumu Games,3,7.27
Akupara Games,6,8.79
Alain Perrin,1,7.5
Alakhaine Specialist Consulting Limited,1,7.86
Alan Chan,1,8.18
Alan Edwardes,1,8.09
Alaric von Teplitz,1,7.74
Alastair John Jack,1,8.87
Alawar Entertainment,31,7.77
Alawar Premium,3,8.09
Albash Bokhari,1,10
Albatros Softworks,1,7.34
Albatross Wirehead,1,10
Albert MN.,1,10
Albert Stirner Games,1,2
Albin Bernhardsson,1,7.5
Albino Moose Games,1,9.22
Albireo Games,3,4.15
Alcateia Entertainment,1,7.5
Alchemist Studio,1,7.21
Alcuria Games,1,8
Alda Games,5,6.53
Alder Games,1,7.5
Aldorlea Games,33,7.76
Aleksandar Kuzmanovic Games,1,9.74
Aleksandar Kuzmanovic Games Inc.,1,8.62
Aleksandr Golovkin,3,8.06
Aleksandr Soldatov,1,8.94
Alekseev,3,4
Aleksey Abramenko,1,8.35
Aleph=Null,1,10
Aleson,1,8.38
Alessandro Guzzo,1,7.25
Alessandro Roberti,1,7.33
Alex Bair Games,1,10
Alex Carpenter,1,9.68
Alex Cooper,1,10
Alex Danilow,1,2.58
Alex Hall,1,7.14
Alex Hanson-White,2,8.89
Alex Ilitchev,1,10
Alex Meng,1,5.65
Alex Olinkiewicz,1,8.68
Alex Rose Games,1,6.1
Alex Tritt,1,6.25
Alex Varvoid,1,7.69
Alex Woodcock,1,3
Alex Zhang,1,6.15
Alex's Granny,1,8.24
AlexHoratio,2,9
AlexHoratio;Alex Carpenter,1,8.24
AlexTheCreator,1,8.75
Alexander Casha,1,2.5
Alexander Goodwin,2,6.64
Alexander Kov,1,4.48
Alexander Mirdzveli,1,7.31
Alexander Shvab,1,3.5
Alexander Spillman,1,9.41
Alexander Tavintsev,1,7.9
Alexandr Bondarenko,1,8.18
Alexandr Borovikov,1,0
Alexandr Versebeliuc,1,5
Alexandre SK,1,10
